Expression	Value	Location	Type	
g_tofDisplay	-1293	Memory:0x26e6	long	
g_averageTimeResultDown	2.0513378144E+1	Memory:0x1f06	double	
g_averageTimeResultUp	2.05146522E+1	Memory:0x1d72	double	
g_calibrateCorrectionFactor	1.0039405822	Memory:0x1d46	double	
g_averageTimeResultDown	2.0513378144E+1	Memory:0x1f06	double	
g_averageTimeResultUp	2.05146522E+1	Memory:0x1d72	double	
g_timeOfFlight	-1257	Memory:0x209e	long	
g_calibrateCorrectionFactor	1.0039405822	Memory:0x1d46	double	
g_tdcStatusRegister	17	Memory:0x1d40	unsigned int	
g_tdcStatusRegister	17	Memory:0x1d40	unsigned int	
g_PW1STValue	5.46875E-1	Memory:0x209a	double	
g_timeOfFlightBuffer	<array>	Memory:0x20a6	long[100]	
tempValueBuffer	<array>	Memory:0x2236	long[100]	
g_averageTimeResultDown	2.0513378144E+1	Memory:0x1f06	double	
g_timeResultdown0	6.15401916E+1	Memory:0x1d56	double	
g_timeResultdown1	6.5536E+4	Memory:0x1d5a	double	
g_timeResultdown2	3.4324264522E+2	Memory:0x1d5e	double	
g_averageTimeResultUp	2.05146522E+1	Memory:0x1d72	double	
g_timeResultup0	6.1544525144E+1	Memory:0x1d4a	double	
g_timeResultup1	6.5536E+4	Memory:0x1d4e	double	
g_timeResultup2	3.4324264522E+2	Memory:0x1d52	double	
tempDownValue	2.05133934E+1	Memory:0x5bc8	double	
tempValueDownBuffer	<array>	Memory:0x2556	double[100]	
g_timeOfFlightDownBuffer	2.0513378144E+1	Memory:0x1f0a	<double>	
[0]	2.0513378144E+1	Memory:0x1f0a	double	
[1]	2.0513374322E+1	Memory:0x1f0e	double	
[2]	2.0513320922E+1	Memory:0x1f12	double	
[3]	2.0513347622E+1	Memory:0x1f16	double	
[4]	2.0513376233E+1	Memory:0x1f1a	double	
[5]	2.05133819E+1	Memory:0x1f1e	double	
[6]	2.0513372422E+1	Memory:0x1f22	double	
[7]	2.05133152E+1	Memory:0x1f26	double	
[8]	2.05133171E+1	Memory:0x1f2a	double	
[9]	2.05134163E+1	Memory:0x1f2e	double	
[10]	2.0513425822E+1	Memory:0x1f32	double	
[11]	2.05134601E+1	Memory:0x1f36	double	
[12]	2.0513423911E+1	Memory:0x1f3a	double	
[13]	2.0513372422E+1	Memory:0x1f3e	double	
[14]	2.0513402933E+1	Memory:0x1f42	double	
[15]	2.0513456344E+1	Memory:0x1f46	double	
[16]	2.0513507844E+1	Memory:0x1f4a	double	
[17]	2.05134468E+1	Memory:0x1f4e	double	
[18]	2.05134601E+1	Memory:0x1f52	double	
[19]	2.0513423911E+1	Memory:0x1f56	double	
[20]	2.0513473511E+1	Memory:0x1f5a	double	
[21]	2.05134716E+1	Memory:0x1f5e	double	
[22]	2.05134716E+1	Memory:0x1f62	double	
[23]	2.05134601E+1	Memory:0x1f66	double	
[24]	2.0513423911E+1	Memory:0x1f6a	double	
[25]	2.05134658E+1	Memory:0x1f6e	double	
[26]	2.0513565E+1	Memory:0x1f72	double	
[27]	2.05135936E+1	Memory:0x1f76	double	
[28]	2.05135498E+1	Memory:0x1f7a	double	
[29]	2.05135498E+1	Memory:0x1f7e	double	
[30]	2.0513505933E+1	Memory:0x1f82	double	
[31]	2.05135498E+1	Memory:0x1f86	double	
[32]	2.0513580322E+1	Memory:0x1f8a	double	
[33]	2.05135364E+1	Memory:0x1f8e	double	
[34]	2.0513544E+1	Memory:0x1f92	double	
[35]	2.0513525E+1	Memory:0x1f96	double	
[36]	2.05135765E+1	Memory:0x1f9a	double	
[37]	2.0513578411E+1	Memory:0x1f9e	double	
[38]	2.05135707E+1	Memory:0x1fa2	double	
[39]	2.05135688E+1	Memory:0x1fa6	double	
[40]	2.05135765E+1	Memory:0x1faa	double	
[41]	2.05136547E+1	Memory:0x1fae	double	
[42]	2.0513565E+1	Memory:0x1fb2	double	
[43]	2.05135746E+1	Memory:0x1fb6	double	
[44]	2.0513561244E+1	Memory:0x1fba	double	
[45]	2.05135936E+1	Memory:0x1fbe	double	
[46]	2.05136013E+1	Memory:0x1fc2	double	
[47]	2.05135917E+1	Memory:0x1fc6	double	
[48]	2.05135631E+1	Memory:0x1fca	double	
[49]	2.05135479E+1	Memory:0x1fce	double	
[50]	2.05134925E+1	Memory:0x1fd2	double	
[51]	2.05135479E+1	Memory:0x1fd6	double	
